time,ax,ay,vx,vy,px,py,gz,yaw
1555247377.594068050,0.00995261907692,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.604944944,0.0199928289231,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.615813016,0.0300248953846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.626508951,0.0398980661538,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.637929916,0.0504404953846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.647973060,0.0597110898462,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.659600019,0.0704436673846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.669601917,0.0796761886154,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.680391073,0.0896354095385,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.691189050,0.0996027729231,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.701936960,0.109523920615,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.713089942,0.119818980923,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.723505020,0.129432899077,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.735060930,0.140099892923,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.745220899,0.149478325846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.756000995,0.159429183692,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.767103910,0.169678028308,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.778110027,0.179837520923,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.788646936,0.189563898462,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.799869060,0.199922782154,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.810305118,0.209556066462,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.820961952,0.219393144,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.831537008,0.229154734154,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.842586994,0.239354721231,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.853379964,0.249317462769,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.863775014,0.258912893538,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.874754905,0.269048177538,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.885441064,0.278912324308,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.896243095,0.288883429846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.907058000,0.298866419077,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.917697906,0.308687870769,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.928426027,0.318590751692,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.939292907,0.328621717846,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.950026035,0.338529220615,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.961036920,0.348693114462,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.971599102,0.358442820923,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.982372045,0.368387076,0,0,0,0,0.0,0.0,0.0,0.0
1555247377.993154048,0.378339694154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.4038095,0.388386506769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.14883995,0.398398106769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.25710105,0.408391439077,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.36412954,0.418270992,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.47207117,0.428234834769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.58058977,0.438251936308,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.68662881,0.448040155385,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.79468965,0.458015002154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.90238094,0.467955736615,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.101069927,0.477954351692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.111819028,0.487876598769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.122570991,0.497801487692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.133347988,0.507749484923,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.145478010,0.518946428308,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.156091928,0.528743891077,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.168020009,0.539754427385,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.176604032,0.547678140923,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.187719106,0.557938209231,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.198487997,0.567878724,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.209321975,0.577879319077,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.220401048,0.588106155692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.230849981,0.597751324615,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.242574930,0.608574354462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.253230094,0.618409890462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.263235092,0.627645273231,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.274039983,0.637619018769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.285943031,0.648606447692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.296278953,0.658147298769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.306683063,0.667751092615,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.317224979,0.677482092,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.328479051,0.687870466154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.338984012,0.697567353231,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.349574089,0.707342808923,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.360511064,0.717438478154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.371079921,0.727194346154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.381874084,0.737158188923,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.392688035,0.747140297538,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.403419971,0.7570467,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.413872957,0.766695610154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.424695968,0.776686081846,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.435529947,0.786686677846,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.446310043,0.796637535692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.456953048,0.806461848,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.468182086,0.816827113846,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.478563070,0.826409560615,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.489343881,0.836361078462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.500173091,0.846357272308,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.511054992,0.856402104,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.522861957,0.867300840923,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.532548904,0.876242638154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.543263912,0.886133414769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.554269075,0.896292026769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.565064907,0.906257410154,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.575792074,0.916159410462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.586529970,0.926071314462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.597234964,0.935952847385,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.608006954,0.945896222769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.618753910,0.955816489846,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.629548072,0.965780331692,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.640316963,0.975720846462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.651570081,0.98610834,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.664975881,0.998482924615,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.673414945,1.00627282985,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.684253931,1.01627804769,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.695209026,1.02639044308,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.705501079,1.03589079969,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.716258049,1.04582031046,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.726988077,1.05572495169,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.738820075,1.066646796,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.748600006,1.07567442462,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.759372949,1.08561867969,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.770143985,1.09556117446,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.780965089,1.10554988585,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.791728019,1.11548489815,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.804522037,1.12729476092,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.813673973,1.13574270185,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.824161052,1.14542308246,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.835269927,1.15567742862,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.847207069,1.16669632892,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.856807947,1.17555867785,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.868050098,1.185936048,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.878384113,1.19547513877,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.889156103,1.20541851415,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.899903059,1.21533878123,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.910748004,1.22534949969,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.921506881,1.23528077077,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.934142112,1.24694406092,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.943042993,1.25516025877,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.954432964,1.26567407815,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.964672088,1.27512557723,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.975860118,1.28545298954,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.986252069,1.29504555969,0,0,0,0,0.0,0.0,0.0,0.0
1555247378.997735023,1.30564520954,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.8248090,1.31534957908,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.18563985,1.32487194369,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.30370950,1.33577068062,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.39788961,1.34446422923,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.50230979,1.35410301508,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.62180995,1.36513379908,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.73239088,1.37534126954,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.84000110,1.38527452062,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.94522953,1.39498791415,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.104501008,1.40419842646,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.115369081,1.41423049385,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.127269029,1.42521506123,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.139470100,1.43647758831,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.149483919,1.44572111354,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.159768104,1.45521420738,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.169253110,1.46396959754,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.182405948,1.47611067877,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.192270040,1.48521599446,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.202502012,1.49466089169,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.213499069,1.50481202123,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.223403930,1.51395496985,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.234021902,1.52375617477,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.244848966,1.53375038769,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.255713939,1.54377959354,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.268522977,1.55560332092,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.279563903,1.56579494492,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.289869070,1.57530740677,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.299643993,1.58433041262,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.309828042,1.59373107323,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.320295095,1.60339296831,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.331022977,1.61329562862,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.343446969,1.62476392892,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.352870941,1.63346298,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.363661050,1.64342308062,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.374609947,1.65352975477,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.385291099,1.66338927969,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.395823001,1.67311103538,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.406600952,1.68305991323,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.418066024,1.69364305662,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.429512023,1.70420859415,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.440707921,1.71454326923,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.450809001,1.72386734308,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.460882902,1.73316632862,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.471682071,1.74313479231,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.482099056,1.75275047077,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.492855072,1.76267910092,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.503627061,1.77262247538,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.515326023,1.78342151723,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.526494026,1.79373044308,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.536079883,1.80257892646,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.547537088,1.813154808,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.557409048,1.82226738646,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.568380117,1.83239452708,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.579173088,1.84235726954,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.589932918,1.85228942031,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.600684881,1.86221430923,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.613009929,1.87359127662,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.622489929,1.88234204585,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.633080959,1.89211838123,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.644383907,1.90255187169,0,0,0,0,0.0,0.0,0.0,0.0
1555247379.654716968,1.91209008185,0,0,0,0,0.0,0.0,0.0,0.0
