stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1556458587.614769935,0.00927785723077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.624661922,0.0184089221538,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.635041952,0.0279904883077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.644751071,0.036952752,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.654810905,0.0462387526154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.664726018,0.0553911646154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.674799919,0.0646901501538,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.684695005,0.0738240756923,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.694839000,0.0831877633846,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.704765081,0.0923502996923,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.714740991,0.101558832,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.724767923,0.110814461538,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.734747886,0.120026735077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.744653940,0.129170784923,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.754404067,0.138170902154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.764357089,0.147358307077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.774466991,0.156690524308,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.784358024,0.165820708615,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.794349908,0.175043986154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.804435968,0.184354195385,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.814352989,0.193508368615,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.824335098,0.202722623077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.834281921,0.211904305846,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.844341993,0.221190526154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.854439020,0.230510858769,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.864347934,0.239657548615,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.874352931,0.248892930462,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.884345054,0.258116428615,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.894340038,0.267342567692,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.904465913,0.276689529231,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.914760112,0.286191866769,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.924392938,0.295083706154,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.934420108,0.304339555385,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.944386959,0.313539725538,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.955028057,0.323362277538,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.964405059,0.332017971692,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.974375963,0.341221883077,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.984383106,0.350459245846,0,0,0,0,0.0,0.0,0.0,0.0
1556458587.994344949,0.359654793231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.4462003,0.368993612308,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.14347076,0.378118295077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.24256944,0.387265865538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.34363985,0.396595441846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.44342994,0.405806834769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.54486036,0.415169642769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.64337968,0.424263733846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.74357986,0.433512981231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.84362983,0.442748363077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.94345092,0.451962617538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.104464054,0.461303197846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.114361047,0.470438883692,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.124350070,0.479659520308,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.134363889,0.488903045538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.144337892,0.498109817538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.154433965,0.507429269538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.164777994,0.516977604,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.174412965,0.525871423385,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.184320926,0.535017233538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.194343090,0.544268461846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.204791069,0.553912750154,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.214428901,0.562809210462,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.224387884,0.572002117846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.234354972,0.581202506769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.244558095,0.590620774154,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.254368066,0.599676132,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.264353036,0.608893027385,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.274488925,0.618249232615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.284815073,0.627781061538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.294953107,0.637139246769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.304929018,0.64634778,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.314766883,0.655428886154,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.324722051,0.664618272,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.334347009,0.673502848615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.344345092,0.682731848308,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.354513883,0.692118424615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.364445924,0.701286462462,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.374326944,0.710407404,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.384327888,0.719639044615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.394329071,0.728870905846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.404417991,0.738183755077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.414750099,0.747721085538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.424384117,0.756614025231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.434386014,0.765846545538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.444473981,0.775158515077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.454921960,0.784802803385,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.464400053,0.793551812308,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.474379062,0.802763205231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.484370946,0.811986482769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.494473934,0.821312317846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.504623889,0.830681507077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.514341115,0.839651254154,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.524967908,0.849460601538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.534337043,0.858109033846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.544465065,0.867457977231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.554339885,0.876573195692,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.564364910,0.885827064923,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.574300050,0.894997963385,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.584295988,0.904224983077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.594321966,0.913479732,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.604342937,0.922729859077,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.614331960,0.931950495692,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.624334096,0.941183236615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.634330987,0.950411136,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.644324064,0.959635514769,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.654333114,0.968874637846,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.664764881,0.978503961231,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.674325942,0.987329556,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.685597896,0.997734436615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.694822072,1.00624906062,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.704708099,1.015374624,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.714446067,1.02436351754,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.724411964,1.03356280708,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.734380960,1.04276495723,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.744611978,1.05220897385,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.754364967,1.06121173292,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.764385938,1.07046186,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.774496078,1.07979429692,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.784569025,1.08909240185,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.794363975,1.09813389415,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.804364919,1.10736553477,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.814377069,1.11660751938,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.824363946,1.12582617508,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.834371089,1.13506353785,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.844373941,1.14429693969,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.854366064,1.15352043785,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.864362001,1.16274745662,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.874377012,1.17199208215,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.884360074,1.18120721631,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.894359111,1.19043709662,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.904352903,1.19966213538,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.914797067,1.20930290215,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.924427032,1.21819210062,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.934448957,1.22744310831,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.944401979,1.23663051323,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.954885959,1.24630803323,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.964437007,1.25512438523,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.974419116,1.26433863969,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.984375953,1.27352956615,0,0,0,0,0.0,0.0,0.0,0.0
1556458588.994364976,1.28275020277,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.4286050,1.29190811723,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.14390945,1.30123571262,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.24359941,1.31043786277,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.34363985,1.31967236492,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.44348001,1.32888837969,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.54356098,1.33812662308,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.64351081,1.34735276123,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.74348926,1.35658154123,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.84363937,1.36582616677,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.94369888,1.37506242923,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.104351997,1.38427668369,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.114372968,1.39352681077,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.124357938,1.40274370615,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.134355068,1.41197182615,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.144367933,1.42121447077,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.154366016,1.43044347046,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.164777040,1.44005364646,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.174403905,1.44893998338,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.184421062,1.45818658985,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.194341897,1.46734428369,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.204633951,1.47684464123,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.214437961,1.48589449662,0,0,0,0,0.0,0.0,0.0,0.0
1556458589.224428892,1.49511689446,0,0,0,0,0.0,0.0,0.0,0.0
